time/s	Ewe/V	<I>/mA	
2.900199926734786E+000	1.9683859E-001	-2.098578939288855E+000
2.925199926103232E+000	1.9628277E-001	-1.978943193480376E+000
2.950199925471679E+000	1.9586770E-001	-2.075033462718135E+000
2.975199924840126E+000	1.9531664E-001	-2.047033718302842E+000
3.000199924208573E+000	1.9481809E-001	-2.058488216102134E+000
3.025199923577020E+000	1.9433145E-001	-1.954761410355570E+000
3.050199922945467E+000	1.9382574E-001	-2.020942893463662E+000
3.075199922313914E+000	1.9336534E-001	-2.040033774599429E+000
3.100199921682361E+000	1.9281191E-001	-1.913397980252054E+000
3.125199921050807E+000	1.9229904E-001	-1.934397872015836E+000
3.150199920419254E+000	1.9172174E-001	-2.095397143512969E+000
3.175199919787701E+000	1.9131860E-001	-2.194032747596509E+000
3.200199919156148E+000	1.9080332E-001	-2.083942505493759E+000
3.225199918524595E+000	1.9034532E-001	-2.138669427335280E+000
3.250199917893042E+000	1.8986346E-001	-2.032397448718548E+000
3.275199917261489E+000	1.8928854E-001	-2.132306076660759E+000
3.300199916629936E+000	1.8886633E-001	-2.127851309925326E+000
3.325199915998382E+000	1.8833199E-001	-2.197214521542186E+000
3.350199915366829E+000	1.8781909E-001	-2.109396929442883E+000
3.375199914735276E+000	1.8733962E-001	-2.195941927793894E+000
3.400199914103723E+000	1.8685299E-001	-2.019033854827288E+000
3.425199913472170E+000	1.8629000E-001	-2.054033586680895E+000
3.450199912840617E+000	1.8588208E-001	-2.180669323876497E+000
3.475199912209064E+000	1.8532151E-001	-2.151396539944690E+000
3.500199911577511E+000	1.8480384E-001	-2.166032963544126E+000
3.525199910945958E+000	1.8432915E-001	-2.117669521346691E+000
3.550199910314404E+000	1.8377571E-001	-2.162214791178705E+000
3.575199909682851E+000	1.8335110E-001	-2.080124438703059E+000
3.600199909051298E+000	1.8283106E-001	-2.194669282436369E+000
3.625199908419745E+000	1.8229671E-001	-2.006306605413563E+000
3.650199907788192E+000	1.8177906E-001	-2.199123585298665E+000
3.675199907156639E+000	1.8124948E-001	-2.132942187190061E+000
3.700199906525086E+000	1.8077239E-001	-2.155214831903582E+000
3.725299905891006E+000	1.8032284E-001	-2.199514422555364E+000
3.750399905256927E+000	1.7983250E-001	-2.092851551920184E+000
3.775399904625374E+000	1.7930771E-001	-2.179396625980745E+000
3.800399903993821E+000	1.7886402E-001	-2.163487619087103E+000
3.825399903362268E+000	1.7833921E-001	-2.239850669428719E+000
3.850399902730715E+000	1.7789310E-001	-2.174305695295338E+000
3.875399902099161E+000	1.7729676E-001	-2.180033000186093E+000
3.900399901467608E+000	1.7680295E-001	-2.043851772993804E+000
3.925399900836055E+000	1.7635448E-001	-2.167305698543795E+000
3.950399900204502E+000	1.7584400E-001	-2.241123449280859E+000
3.975399899572949E+000	1.7535974E-001	-2.054033691585062E+000
4.000399898941396E+000	1.7483732E-001	-2.302850300446153E+000
4.025399898309843E+000	1.7431729E-001	-2.194032735899093E+000
4.050399897678290E+000	1.7376147E-001	-2.331486648768177E+000
4.075399897046736E+000	1.7340603E-001	-2.312395662292850E+000
4.100399896415183E+000	1.7285261E-001	-2.194032716304072E+000
4.125399895783630E+000	1.7230394E-001	-2.139305989518768E+000
4.150399895152077E+000	1.7179821E-001	-2.220123593360192E+000
4.175399894520524E+000	1.7134736E-001	-2.236032514050608E+000
4.200399893888971E+000	1.7087027E-001	-2.199760115593669E+000
4.225399893257418E+000	1.7033114E-001	-2.106851353198302E+000
4.250399892625865E+000	1.6983975E-001	-2.285668827220791E+000
4.275399891994311E+000	1.6933641E-001	-2.290759561955926E+000
4.300399891362758E+000	1.6881399E-001	-2.174305695891377E+000
4.325399890731205E+000	1.6835836E-001	-2.229032461866741E+000
4.350399890099652E+000	1.6794328E-001	-2.125305891633034E+000
4.375399889468099E+000	1.6738270E-001	-2.344850267693403E+000
4.397899888899701E+000	1.6683961E-001	-2.304759816030668E+000
4.410399888583925E+000	1.6669334E-001	-2.284395894408227E+000
4.425399888204993E+000	1.6639750E-001	-2.186396318525070E+000
4.450399887573440E+000	1.6588461E-001	-2.190214653164153E+000
4.475399886941887E+000	1.6534312E-001	-2.243668887093669E+000
4.500399886310333E+000	1.6482785E-001	-2.171123984903101E+000
4.525399885678780E+000	1.6436030E-001	-2.332759306058286E+000
4.550399885047227E+000	1.6394998E-001	-2.271668703630571E+000
4.575399884415674E+000	1.6336317E-001	-2.153305764570824E+000
4.600399883784121E+000	1.6289800E-001	-2.117669527519030E+000
4.625399883152568E+000	1.6242568E-001	-2.254487119168047E+000
4.650399882521015E+000	1.6186270E-001	-2.150124005520489E+000
4.675399881889462E+000	1.6138084E-001	-2.228396380022172E+000
4.700399881257908E+000	1.6086796E-001	-2.263396181091657E+000
4.725399880626355E+000	1.6037655E-001	-2.122124202921992E+000
4.750399879994802E+000	1.5986130E-001	-2.135487764552245E+000
4.775399879363249E+000	1.5934841E-001	-2.227123533487323E+000
4.800399878731696E+000	1.5884507E-001	-2.123396918848155E+000
4.825399878100143E+000	1.5832265E-001	-2.099215284064417E+000
4.850399877468590E+000	1.5776923E-001	-2.261487173885108E+000
4.875399876837037E+000	1.5735653E-001	-2.258941621780398E+000
4.900399876205483E+000	1.5687944E-001	-2.213123741373423E+000
4.925399875573930E+000	1.5632363E-001	-2.238578024059517E+000
4.950399874942377E+000	1.5587993E-001	-2.215032670348890E+000
4.975399874310824E+000	1.5540282E-001	-2.239850799590354E+000
5.000399873679271E+000	1.5486847E-001	-2.325759493783110E+000
5.025399873047718E+000	1.5439138E-001	-2.144396612271670E+000
5.050399872416165E+000	1.5394290E-001	-2.250668995976448E+000
5.075399871784612E+000	1.5337516E-001	-2.401486225873242E+000
5.100399871153058E+000	1.5285991E-001	-2.234123391360050E+000
5.125399870521505E+000	1.5239950E-001	-2.320032176151869E+000
5.150399869889952E+000	1.5185083E-001	-2.258305124044426E+000
5.175399869258399E+000	1.5137376E-001	-2.321304832473402E+000
5.200399868626846E+000	1.5084417E-001	-2.106215198859573E+000
5.225399867995293E+000	1.5033607E-001	-2.253214291557676E+000
5.250399867363740E+000	1.4991145E-001	-2.376031935364011E+000
5.275399866732187E+000	1.4936756E-001	-2.286305107921358E+000
5.300399866100634E+000	1.4889522E-001	-2.295850355923186E+000
5.325399865469080E+000	1.4835612E-001	-2.315577560737729E+000
5.350399864837527E+000	1.4784086E-001	-2.328941123113029E+000
5.375399864205974E+000	1.4733753E-001	-2.222669150084267E+000
5.400399863574421E+000	1.4682464E-001	-2.340395685732370E+000
5.425399862942868E+000	1.4634278E-001	-2.225850816431925E+000
5.450399862311315E+000	1.4587998E-001	-2.372213636264195E+000
5.475399861679762E+000	1.4534087E-001	-2.273577757924791E+000
5.500399861048209E+000	1.4491150E-001	-2.299668573737144E+000
5.525399860416655E+000	1.4438191E-001	-2.285032419189804E+000
5.550399859785102E+000	1.4383803E-001	-2.372849881574517E+000
5.575399859153549E+000	1.4334901E-001	-2.267850566059337E+000
5.600399858521996E+000	1.4281705E-001	-2.353122770637281E+000
5.625399857890443E+000	1.4234948E-001	-2.243032614130058E+000
5.650399857258890E+000	1.4194156E-001	-2.290759710595026E+000
5.675399856627337E+000	1.4132373E-001	-2.306032238453632E+000
5.700399855995784E+000	1.4091820E-001	-2.337213983908302E+000
5.725399855364230E+000	1.4037192E-001	-2.318759415590904E+000
5.750399854732677E+000	1.3985188E-001	-2.383031770661468E+000
5.775399854101124E+000	1.3940342E-001	-2.241759704500446E+000
5.800399853469571E+000	1.3878557E-001	-2.330850216299304E+000
5.825399852838018E+000	1.3834427E-001	-2.323850154802202E+000
5.850399852206465E+000	1.3790056E-001	-2.253850765302772E+000
5.875399851574912E+000	1.3730659E-001	-2.304123224988579E+000
5.900399850943359E+000	1.3688196E-001	-2.367759164944289E+000
5.925399850311805E+000	1.3639532E-001	-2.358213640078898E+000
5.950399849680252E+000	1.3593970E-001	-2.254486946687109E+000
5.975399849048699E+000	1.3539581E-001	-2.379849974364049E+000
6.000399848417146E+000	1.3485193E-001	-2.295213908478623E+000
6.025399847785593E+000	1.3435574E-001	-2.418031616956014E+000
6.050399847154040E+000	1.3384764E-001	-2.225850856825705E+000
6.075399846522487E+000	1.3331088E-001	-2.202305546700958E+000
6.100399845890934E+000	1.3280757E-001	-2.183214736133820E+000
6.125399845259381E+000	1.3234477E-001	-2.415486140474677E+000
