time/s,<Ewe>/V,I/mA
108.7013973,1.322593331,47.75764847
108.8013973,1.322607756,47.66216278
108.9013972,1.322613239,47.91678238
109.0013972,1.322615743,47.72581482
109.1013972,1.322604537,47.82129669
109.2013972,1.322605133,47.63032913
109.3013972,1.322604895,47.98044205
109.4013972,1.322598457,47.85313034
109.5013972,1.322705626,47.24840164
109.6013972,1.322992802,47.63032913
109.7013972,1.323119283,47.4393692
109.8013972,1.323064685,47.63032913
109.9013972,1.322968364,47.78947449
110.0013972,1.322855592,47.69399261
110.1013972,1.322745323,47.24840164
110.2013972,1.322670579,47.66216278
110.3013972,1.322651505,47.72581482
110.4013972,1.322671056,48.04409409
110.5013972,1.322699189,47.78947449
110.6013972,1.322740674,47.50302505
110.7013972,1.322728872,48.2987175
110.8013972,1.322680354,47.47119522
110.9013972,1.322667122,47.88496017
111.0013972,1.322653651,47.63032913
111.1013972,1.322662592,47.66216278
111.2013972,1.32266283,48.04409409
111.3013972,1.322658539,47.75764847
111.4013972,1.322660923,47.50302505
111.5013972,1.322665691,47.59850693
111.6013972,1.322664261,47.56668091
111.7013972,1.322681904,47.66216278
111.8013972,1.32272613,47.47119522
111.9013972,1.322755575,47.91678238
112.0013972,1.322831869,47.91678238
112.1013972,1.322888374,47.56668091
112.2013972,1.322925806,47.53485107
112.3013972,1.322954416,47.91678238
112.4013972,1.322976351,47.91678238
112.5013972,1.322969556,47.72581482
112.6013972,1.322979927,47.82129669
112.7013972,1.322982788,47.63032913
112.8013972,1.322962642,47.78947449
112.9013971,1.322955251,47.69399261
113.0013971,1.322960377,47.72581482
113.1013971,1.322968483,47.98044205
113.2013971,1.322982073,47.72581482
113.3013971,1.322975636,47.56668091
113.4013971,1.32296443,47.40753937
113.5013971,1.32296598,47.98044205
113.6013971,1.322984695,47.85313034
113.7013971,1.323036909,47.69399261
113.8013971,1.32305181,47.66216278
113.9013971,1.323078036,47.82129669
114.0013971,1.323096514,47.85313034
114.1013971,1.323100805,47.59850693
114.2013971,1.323093295,47.50302505
114.3013971,1.323069215,47.53485107
114.4013971,1.323043942,47.66216278
114.5013971,1.323021293,47.34388351
114.6013971,1.322994947,47.98044205
114.7013971,1.322979569,47.72581482
114.8013971,1.322989225,47.47119522
114.9013971,1.32303226,47.63032913
115.0013971,1.323071599,47.88496017
115.1013971,1.32309401,47.78947449
115.2013971,1.323099256,47.40753937
115.3013971,1.323025346,47.56668091
115.4013971,1.322854757,47.91678238
115.5013971,1.322716236,47.50302505
115.6013971,1.322633386,47.91678238
115.7013971,1.322574258,48.04409409
115.8013971,1.322517753,47.98044205
115.9013971,1.322483063,47.85313034
116.0013971,1.322477341,47.75764847
116.1013971,1.322483063,48.04409409
116.2013971,1.322492719,47.63032913
116.3013971,1.322490811,47.88496017
116.4013971,1.322516799,47.78947449
116.5013971,1.322503805,47.75764847
116.6013971,1.322511196,47.72581482
116.7013971,1.322514176,47.66216278
116.801397,1.322527528,47.59850693
116.901397,1.322528839,47.88496017
117.001397,1.322551489,47.53485107
117.101397,1.322580695,47.66216278
117.201397,1.322601557,48.10774994
117.301397,1.322597623,47.72581482
117.401397,1.322587609,48.01226425
117.501397,1.322588801,48.07592773
117.601397,1.322573781,47.69399261
117.701397,1.322617769,47.72581482
117.801397,1.322707891,47.47119522
117.901397,1.322795033,47.3120575
118.001397,1.322854757,47.66216278
118.101397,1.322850943,47.66216278
118.201397,1.322846293,47.9486084
118.301397,1.322826982,47.82129669
118.401397,1.322792053,47.50302505
118.501397,1.322788239,47.78947449
118.601397,1.322790742,47.78947449
118.701397,1.322811246,48.01226425
118.801397,1.322838783,47.69399261
118.901397,1.322911263,47.59850693
